Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
9,2,28,1,2,2,46,27,3.391608392,8,9,No_Sex,1,5,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,10,Sex,3,5,11.994,1.3317,8.8084,15.1796,1.5804,1.083
10,2,21,1,2,4,33,32,3.486013986,4,1,Sex,5,4,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,2,Sex,4,3,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,3,No_Sex,1,2,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,4,Sex,1,3,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,5,No_Sex,2,3,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,6,No_Sex,4,4,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,7,Sex,1,2,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,8,No_Sex,2,3,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,9,No_Sex,2,1,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
10,2,21,1,2,4,33,32,3.486013986,4,10,Sex,3,4,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
11,2,23,1,2,4,21,33,3.391608392,4,1,Sex,4,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,2,Sex,2,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,3,No_Sex,1,3,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,4,Sex,1,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,5,No_Sex,1,3,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,6,No_Sex,4,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,7,Sex,1,3,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,8,No_Sex,1,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,9,No_Sex,3,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
11,2,23,1,2,4,21,33,3.391608392,4,10,Sex,1,4,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
12,1,18,1,3,1,37,26,3.622377622,9,1,Sex,2,3,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,2,Sex,3,4,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,3,No_Sex,4,4,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,4,Sex,2,2,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,5,No_Sex,3,4,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,6,No_Sex,3,3,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,7,Sex,4,4,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,8,No_Sex,4,3,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,9,No_Sex,2,4,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
12,1,18,1,3,1,37,26,3.622377622,9,10,Sex,1,1,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
13,1,30,1,3,1,44,39,2.751748252,11,1,Sex,3,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,2,Sex,3,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,3,No_Sex,2,4,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,4,Sex,3,2,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,5,No_Sex,3,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,6,No_Sex,4,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,7,Sex,3,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,8,No_Sex,3,3,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,9,No_Sex,3,2,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
13,1,30,1,3,1,44,39,2.751748252,11,10,Sex,2,2,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
14,1,20,1,3,3,40,40,3.34965035,4,1,Sex,4,5,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,2,Sex,1,4,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,3,No_Sex,1,2,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,4,Sex,1,4,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
