,Participants,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
67,67,7.616,1.736,9.058,20.287,2.932,38.751,6.888,19.632,4.051,4.259,3.593,1.678,1.476,1.861,2.885,19.085,3.692,1.613,3.2,1.287,2.156,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
68,68,6.866,43.006,3.014,33.941,9.972,19.437,2.338,15.923,2.67,44.13,2.321,27.978,2.012,29.66,3.142,23.483,2.668,28.585,3.222,27.89,5.507,29.4033,3.6866,30.084,28.7226,4.861,2.5122
69,69,3.346,74.82,2.224,15.87,1.337,45.234,2.828,56.856,0.719,14.648,0.561,78.015,1.623,45.641,1.47,20.437,1.3,113.993,2.015,61.447,0.777,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
70,70,15.028,103.253,6.594,43.018,3.332,29.863,2.373,20.78,3.16,48.453,2.255,32.109,2.136,26.906,2.697,41.689,4.529,24.947,3.655,25.013,2.143,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
71,71,7.486,48.242,6.673,53.456,2.497,30.724,4.495,24.293,2.015,18.688,2.359,51.444,2.858,31.416,2.501,42.841,4.166,22.475,1.379,24.542,3.597,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
72,72,11.645,58.898,3.053,17.819,2.648,31.579,3.88,16.495,3.782,24.006,2.122,41.361,1.757,52.227,2.421,37.356,1.3,22.467,1.986,30.124,3.683,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
73,73,4.613,97.775,4.23,25.747,2.176,84.64,1.951,28.85,1.769,151.615,1.836,14.726,1.78,29.599,1.539,22.871,1.155,19.604,0.818,17.521,1.725,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
74,74,11.805,49.908,7.224,13.633,5.629,34.233,5.218,25.355,2.713,22.133,1.404,37.26,1.536,29.761,1.658,47.247,1.57,21.297,2.232,36.874,3.296,31.7701,3.248,31.1062,32.434,4.104,2.392
75,75,8.411,20.25,3.896,1.674,3.304,1.444,2.601,388.714,33.114,7.006,3.912,36.072,2.053,1.532,1.323,1.383,1.062,32.096,2.209,1.383,0.966,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
76,76,21.378,4.591,3.02,6.988,2.005,4.968,15.818,3.654,2.046,4.258,10.504,7.117,1.601,17.416,1.616,3.963,1.307,22.206,0.859,3.707,1.396,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
