"","X","Contact","Age","Gender","Ethnicity","Ethnic_Origin","Education","DOSPERT_Likelihood_z","DOSPERT_Perception_z","DOSPERT_Benefit_z","UMS_Intimacy_Questions_z","UMS_Affiliation_Questions_z","UMS_Questions_z","dominance_z","prestige_z","leadership_z","PNI_z","DOSPERT_Ethical_Likelihood_z","DOSPERT_Financial_Likelihood_z","DOSPERT_HS_Likelihood_z","DOSPERT_Recreation_Likelihood_z","DOSPERT_Social_Likelihood_z","DOSPERT_Ethical_Perception_z","DOSPERT_Financial_Perception_z","DOSPERT_HS_Perception_z","DOSPERT_Recreation_Perception_z","DOSPERT_Social_Perception_z","DOSPERT_Ethical_Benefit_z","DOSPERT_Financial_Benefit_z","DOSPERT_Recreation_Benefit_z","DOSPERT_Social_Benefit_z","DOSPERT_Ethical_Preference_z","DOSPERT_Financial_Preference_z","DOSPERT_Social_Preference_z","DOSPERT_HS_Preference_z","DOSPERT_Recreation_Preference_z","DOSPERT_General_Preference_z","DOSPERT_General_Expected_Benefits_z","DOSPERT_General_Perceived_Risk_z"
"136",140,5188854,31,1,1,3,5,-1.38887145576749,-0.0023110452590463,0.194507691959945,0.797460482423823,0.602185328508341,0.804514527709959,1.49653325622188,0.590508362731711,0.434440448699552,1.70891025697275,-1.97621015754459,-0.913046471141247,-1.54277657779454,0.015700225690483,-1.25618559324206,-0.682642152884827,0.0732956057110181,-0.268011861162671,0.646328241728291,0.214628075319004,0,-0.298875690419628,0.487530568650805,-0.221169250651418,0.316817311968767,-0.283402899208961,-0.26698315398792,0.914185824820085,0.0120036226759648,0.161834309427295,0.194507691959949,0.0023110452590406
"137",141,5244596,24,2,4,7,4,1.32776989277666,-0.394528440651465,0.895443398881326,-0.721999105578586,0.431364848501677,-0.132916741936388,2.92915332744798,0.590508362731711,1.58820032885246,2.60165054396564,1.53311370966464,0.220627449966405,1.167035830622,1.5700225690483,0.92561043712573,-0.0744079946644461,0.732956057110184,0.156518926919,-0.96170935235173,-1.44646738708475,1.24920894412497,-1.0128119911271,1.2429909802471,1.56018037493424,1.02132739126469,-1.13492667057584,1.86209453975733,0.530370607837433,1.34670040880019,0.896494374562516,0.89544339888133,0.394528440651459
"138",142,5251867,25,2,1,3,3,-0.791210359087774,-0.345501266227413,-1.61624288425362,1.17732537942443,-1.27683995156496,-0.132916741936388,-0.831474359520536,-0.244639178845995,-1.48849268488863,1.1450742862404,-0.00221548223939983,-0.686311686919717,-1.0500834126279,-0.428391872411749,-1.05784049957226,-0.27715271407124,0.0732956057110181,0.581049715000671,-0.96170935235173,-0.823556588683343,-0.749525366474982,-1.72674829183458,-1.5270305289393,-1.77985017303887,-0.463448753896737,-1.51122136512038,-1.34566935845912,-0.968860130594731,-0.573556311962568,-1.20084856086832,-1.61624288425362,0.345501266227407
"139",143,5253229,22,2,1,3,4,2.30576077825256,-0.198419742955256,2.93983921073535,0.0377306884226185,0.943826288521668,0.596196467788549,2.03376578293167,0.590508362731711,0.62673376205837,1.1450742862404,2.19111193476637,2.48797529218171,1.65972899578864,2.01411466715053,1.12395553079553,-0.682642152884827,0.732956057110184,-0.268011861162671,-0.559699953831724,0.00699114251853452,2.99810146589993,3.27080581311775,2.50209166624091,1.56018037493424,2.68512364219299,2.54852872715841,1.40461141951639,1.8065182419797,2.01679677084966,2.51051199305144,2.93983921073536,0.19841974295525
"140",144,5262637,25,2,1,3,5,0.241113353359003,0.438933524557425,0.778620781061095,0.797460482423823,1.79792868855499,1.5336277374349,0.95930072951209,0.799295248126138,0.819027075417187,0.0174023447756898,0.217117259461177,0.674097018409466,-0.557390247461254,0.237746274741599,0.330575156116332,0.128336724742348,0.513069239977128,1.00558050308234,-0.358695254571722,0.629901940919943,0,0.653039377190339,1.49481111744586,1.11484296853783,-0.0595616546501288,0.37673305245787,0.80698726461709,-0.460342930417771,1.21714779869641,0.470992219072824,0.7786207810611,-0.43893352455743
"141",145,5264357,42,1,1,3,4,-0.736877532116891,-1.27701758028441,-0.389605397141205,-1.29179645107949,-0.935198991551635,-1.27866607150415,-1.0105518684238,-0.453426064240422,-1.29619937152981,-1.25122858937211,-0.221548223939977,-1.13978125536278,-0.311043664877932,-0.428391872411749,-0.859495405902464,-1.69636574991879,-0.146591211422037,-0.904808043285177,-1.56472345013174,-1.03119352148381,0,-0.774833224224611,-0.771570117343013,-0.443837953849625,0.787291020242386,-0.613470875042376,-0.0756347454651412,0.709117785279402,0.254271469327666,0.181527450341872,-0.389605397141201,1.2770175802844
"142",146,5268638,25,2,1,3,4,0.512777488213418,-0.443555615075517,0.778620781061095,-0.342134208577984,0.431364848501677,0.0754013179850223,0.601145711705565,0.799295248126138,0.0498538219819158,0.0174023447756898,1.31378096796406,0.447362234187935,0.427996082872034,0.237746274741599,-0.264460124893066,-0.682642152884827,0.513069239977128,-1.11707343732601,-0.358695254571722,-0.200645790281935,1.49905073294996,0.415060610287847,-0.0161097057467223,0.446836858943204,1.50097047708088,0.172096641472634,0.466066249703557,1.23565005020558,0.169735041916724,0.81918744907764,0.7786207810611,0.443555615075511
"143",147,5295771,21,2,1,3,4,-0.519546224233359,0.291852001285268,-0.272782779320975,1.17732537942443,1.11464676852833,1.32530967751349,0.780223220608828,1.21686901891499,1.20361370213482,0.722197308191132,-1.31821193244286,-0.232842118476656,-0.803736830044576,0.237746274741599,-0.0661150312232662,1.34480504118311,0.0732956057110181,-0.268011861162671,-0.157690555311719,0.214628075319004,-0.999367155299976,-0.298875690419628,-0.0161097057467223,0.446836858943204,-1.41356554798655,-0.283402899208961,0.335356786777576,-0.201229696629429,0.0683612409499263,-0.340835186959325,-0.272782779320971,-0.291852001285273
"144",148,5342909,32,2,1,3,4,-0.519546224233359,0.242824826861215,-0.506428014961435,-0.721999105578586,-1.61848091157829,-1.38282510146485,-0.473319341714011,-0.662212949634848,-1.10390605817099,-0.781365280428478,-1.09887919074228,-0.686311686919717,-0.0646970822946099,-0.206345823360633,-0.0661150312232662,0.533826163555935,0.513069239977128,0.581049715000671,-0.559699953831724,0.00699114251853452,-0.499683577649988,-0.774833224224611,0.487530568650805,-0.666506657047832,-0.642468859663613,-0.851085413453544,-0.603188383035259,-0.745777026304829,0.620246428476749,-0.514793217373788,-0.506428014961431,-0.242824826861221
"145",149,5380982,32,2,1,3,4,0.0237820454754706,-0.737718661619831,-0.33119408823109,0.607528033923522,-0.764378511544971,-0.132916741936388,1.13837823841535,-0.244639178845995,-0.33473280473572,0.440279322824955,0.655782742862331,-0.686311686919717,0.674342665455356,-0.428391872411749,-0.0661150312232662,-1.29087631110521,-1.46591211422037,-0.268011861162671,-0.157690555311719,0.00699114251853452,0.499683577649988,-0.774833224224611,-0.0161097057467223,-0.443837953849625,0.993819258636975,-0.13824179822004,-0.402408402780094,-0.424312800919332,0.0683612409499263,0.0170670289148328,-0.331194088231087,0.737718661619825
